"U.S. House margins of victory, 2022",,,,,,,,
District,Votes cast,Winner,Winner votes,Runner-up,Runner-up votes,Margin,Margin (%),Status
California's 1st Congressional District,"137,924",Republican PartyDoug LaMalfa,"81,945",Democratic PartyMax Steiner,"55,979","25,966",18.83%,Incumbent R
California's 10th Congressional District,"145,094",Democratic PartyMark DeSaulnier,"115,320",Green PartyMichael Ernest Kerr,"29,774","85,546",58.96%,Incumbent D
California's 11th Congressional District,"134,941",Democratic PartyNancy Pelosi,"109,895",Republican PartyJohn Dennis,"25,046","84,849",62.88%,Incumbent D
California's 12th Congressional District,"76,111",Democratic PartyBarbara Lee,"66,285",Republican PartyStephen Slauson,"9,826","56,459",74.18%,Incumbent D
California's 13th Congressional District,"133,517",Republican PartyJohn Duarte,"67,041",Democratic PartyAdam Gray,"66,476",565,0.42%,Open
California's 14th Congressional District,"74,042",Democratic PartyEric Swalwell,"48,659",Republican PartyAlison Hayden,"25,383","23,276",31.44%,Incumbent D
California's 15th Congressional District,"119,886",Democratic PartyKevin Mullin,"67,247",Democratic PartyDavid Canepa,"52,639","14,608",12.18%,Incumbent D
California's 16th Congressional District,"135,078",Democratic PartyAnna Eshoo,"78,991",Democratic PartyRishi Kumar,"56,087","22,904",16.96%,Incumbent D
California's 17th Congressional District,"92,740",Democratic PartyRo Khanna,"64,528",Republican PartyRitesh Tandon,"28,212","36,316",39.16%,Incumbent D
California's 18th Congressional District,"74,003",Democratic PartyZoe Lofgren,"48,049",Republican PartyPeter Hernandez,"25,954","22,095",29.86%,Incumbent D
California's 19th Congressional District,"136,532",Democratic PartyJimmy Panetta,"91,936",Republican PartyJeff Gorman,"44,596","47,340",34.67%,Incumbent D
California's 2nd Congressional District,"133,236",Democratic PartyJared Huffman,"95,812",Republican PartyDouglas Brower,"37,424","58,388",43.82%,Incumbent D
California's 20th Congressional District,"101,371",Republican PartyKevin McCarthy,"68,562",Democratic PartyMarisa Wood,"32,809","35,753",35.27%,Incumbent R
California's 21st Congressional District,"102,399",Democratic PartyJim Costa,"56,118",Republican PartyMichael Maher,"46,281","9,837",9.61%,Incumbent D
California's 22nd Congressional District,"100,774",Republican PartyDavid Valadao,"52,065",Democratic PartyRudy Salas,"48,709","3,356",3.33%,Incumbent R
California's 23rd Congressional District,"88,134",Republican PartyJay Obernolte,"53,437",Democratic PartyDerek Marshall,"34,697","18,740",21.26%,Incumbent R
California's 24th Congressional District,"139,188",Democratic PartySalud Carbajal,"84,506",Republican PartyBrad Allen,"54,682","29,824",21.43%,Incumbent D
California's 25th Congressional District,"70,319",Democratic PartyRaul Ruiz,"42,622",Republican PartyBrian Hawkins,"27,697","14,925",21.22%,Incumbent D
California's 26th Congressional District,"152,577",Democratic PartyJulia Brownley,"82,904",Republican PartyMatt Jacobs,"69,673","13,231",8.67%,Incumbent D
California's 27th Congressional District,"165,254",Republican PartyMike Garcia,"89,550",Democratic PartyChristy Smith,"75,704","13,846",8.38%,Incumbent R
California's 28th Congressional District,"117,648",Democratic PartyJudy Chu,"74,398",Republican PartyWes Hallman,"43,250","31,148",26.48%,Incumbent D
California's 29th Congressional District,"61,315",Democratic PartyTony Cardenas,"38,034",Democratic PartyAngelica Dueñas,"23,281","14,753",24.06%,Incumbent D
California's 3rd Congressional District,"293,478",Republican PartyKevin Kiley,"156,469",Democratic PartyKermit Jones,"137,009","19,460",6.63%,Open
California's 30th Congressional District,"109,381",Democratic PartyAdam Schiff,"78,812",Democratic PartyMaebe A. Girl,"30,569","48,243",44.11%,Incumbent D
California's 31st Congressional District,"85,579",Democratic PartyGrace Napolitano,"47,071",Republican PartyDaniel Bocic Martinez,"38,508","8,563",10.01%,Incumbent D
California's 32nd Congressional District,"134,710",Democratic PartyBrad Sherman,"87,260",Republican PartyLucie Lapointe Volotzky,"47,450","39,810",29.55%,Incumbent D
California's 33rd Congressional District,"53,644",Democratic PartyPete Aguilar,"30,949",Republican PartyJohn Porter,"22,695","8,254",15.39%,Incumbent D
California's 34th Congressional District,"121,074",Democratic PartyJimmy Gomez,"62,049",Democratic PartyDavid Kim,"59,025","3,024",2.50%,Incumbent D
California's 35th Congressional District,"76,655",Democratic PartyNorma Torres,"43,052",Republican PartyMike Cargile,"33,603","9,449",12.33%,Incumbent D
California's 36th Congressional District,"151,371",Democratic PartyTed Lieu,"98,156",Republican PartyJoe Collins (California),"53,215","44,941",29.69%,Incumbent D
California's 37th Congressional District,"74,313",Democratic PartySydney Kamlager,"46,125",Democratic PartyJan Perry,"28,188","17,937",24.14%,Open
California's 38th Congressional District,"114,020",Democratic PartyLinda Sanchez,"62,834",Republican PartyEric Ching,"51,186","11,648",10.22%,Incumbent D
California's 39th Congressional District,"41,599",Democratic PartyMark Takano,"25,125",Republican PartyAja Smith,"16,474","8,651",20.80%,Incumbent D
California's 4th Congressional District,"129,979",Democratic PartyMike Thompson,"87,939",Republican PartyMatt Brock,"42,040","45,899",35.31%,Incumbent D
California's 40th Congressional District,"187,931",Republican PartyYoung Kim,"109,992",Democratic PartyAsif Mahmood,"77,939","32,053",17.06%,Incumbent R
California's 41st Congressional District,"185,043",Republican PartyKen Calvert,"95,774",Democratic PartyWill Rollins,"89,269","6,505",3.52%,Incumbent R
California's 42nd Congressional District,"75,877",Democratic PartyRobert Garcia,"48,410",Republican PartyJohn Briscoe,"27,467","20,943",27.60%,Open
California's 43rd Congressional District,"66,464",Democratic PartyMaxine Waters,"49,101",Republican PartyOmar Navarro,"17,363","31,738",47.75%,Incumbent D
California's 44th Congressional District,"75,662",Democratic PartyNanette Barragan,"51,441",Republican PartyPaul Jones,"24,221","27,220",35.98%,Incumbent D
California's 45th Congressional District,"189,444",Republican PartyMichelle Steel,"101,958",Democratic PartyJay Chen,"87,486","14,472",7.64%,Incumbent R
California's 46th Congressional District,"78,836",Democratic PartyLou Correa,"46,491",Republican PartyChristopher Gonzales,"32,345","14,146",17.94%,Incumbent D
California's 47th Congressional District,"259,268",Democratic PartyKatie Porter,"133,759",Republican PartyScott Baugh,"125,509","8,250",3.18%,Incumbent D
California's 48th Congressional District,"122,231",Republican PartyDarrell Issa,"73,421",Democratic PartyStephen Houlahan,"48,810","24,611",20.13%,Incumbent R
California's 49th Congressional District,"287,769",Democratic PartyMike Levin,"151,276",Republican PartyBrian Maryott,"136,493","14,783",5.14%,Incumbent D
California's 5th Congressional District,"175,359",Republican PartyTom McClintock,"105,398",Democratic PartyMike Barkley,"69,961","35,437",20.21%,Incumbent R
California's 50th Congressional District,"145,020",Democratic PartyScott Peters,"87,048",Republican PartyCorey Gustafson,"57,972","29,076",20.05%,Incumbent D
California's 51st Congressional District,"123,211",Democratic PartySara Jacobs,"72,735",Republican PartyStan Caplan,"50,476","22,259",18.07%,Incumbent D
California's 52nd Congressional District,"81,757",Democratic PartyJuan Vargas,"52,645",Republican PartyTyler Geffeney,"29,112","23,533",28.78%,Incumbent D
California's 6th Congressional District,"121,850",Democratic PartyAmi Bera,"68,907",Republican PartyTamika Hamilton,"52,943","15,964",13.10%,Incumbent D
California's 7th Congressional District,"68,426",Democratic PartyDoris Matsui,"44,953",Republican PartyMax Semenenko,"23,473","21,480",31.39%,Incumbent D
California's 8th Congressional District,"109,134",Democratic PartyJohn Garamendi,"81,256",Republican PartyRudy Recile,"27,878","53,378",48.91%,Incumbent D
California's 9th Congressional District,"133,148",Democratic PartyJosh Harder,"74,966",Republican PartyTom Patti,"58,182","16,784",12.61%,Incumbent D
Colorado's 1st Congressional District,"282,685",Democratic PartyDiana DeGette,"226,929",Republican PartyJennifer Qualteri,"49,529","177,400",62.76%,Incumbent D
Colorado's 2nd Congressional District,"248,416",Democratic PartyJoe Neguse,"173,622",Republican PartyMarshall Dawson,"70,848","102,774",41.37%,Incumbent D
Colorado's 3rd Congressional District,"327,285",Republican PartyLauren Boebert,"163,839",Democratic PartyAdam Frisch,"163,293",546,0.17%,Incumbent R
Colorado's 4th Congressional District,"301,992",Republican PartyKen Buck,"181,467",Democratic PartyIsaac McCorkle,"113,618","67,849",22.47%,Incumbent R
Colorado's 5th Congressional District,"277,964",Republican PartyDoug Lamborn,"155,528",Democratic PartyDavid Torres,"111,978","43,550",15.67%,Incumbent R
Colorado's 6th Congressional District,"191,725",Democratic PartyJason Crow,"116,893",Republican PartySteve Monahan,"71,799","45,094",23.52%,Incumbent D
Colorado's 7th Congressional District,"363,601",Democratic PartyBrittany Pettersen,"204,984",Republican PartyErik Aadland,"150,510","54,474",14.98%,Open
Colorado's 8th Congressional District,"236,501",Democratic PartyYadira Caraveo,"114,377",Republican PartyBarbara Kirkmeyer,"112,745","1,632",0.69%,Open
Connecticut's 1st Congressional District,"236,967",Democratic PartyJohn B. Larson,"144,725",Republican PartyLarry Lazor,"89,487","55,238",23.31%,Incumbent D
Connecticut's 2nd Congressional District,"281,284",Democratic PartyJoe Courtney,"163,359",Republican PartyMike France,"113,435","49,924",17.75%,Incumbent D
Connecticut's 3rd Congressional District,"234,686",Democratic PartyRosa DeLauro,"132,545",Republican PartyLesley DeNardis,"96,388","36,157",15.41%,Incumbent D
Connecticut's 4th Congressional District,"230,114",Democratic PartyJim Himes,"135,515",Republican PartyJayme Stevenson,"94,599","40,916",17.78%,Incumbent D
Connecticut's 5th Congressional District,"253,124",Democratic PartyJahana Hayes,"127,483",Republican PartyGeorge Logan,"125,641","1,842",0.73%,Incumbent D
Delaware's At-Large Congressional District,"321,667",Democratic PartyLisa Blunt Rochester,"178,416",Republican PartyLee Murphy,"138,201","40,215",12.50%,Incumbent D
Florida's 1st Congressional District,"289,672",Republican PartyMatt Gaetz,"196,494",Democratic PartyRebekah Jones,"93,178","103,316",35.67%,Incumbent R
Florida's 10th Congressional District,"199,614",Democratic PartyMaxwell Alejandro Frost,"117,745",Republican PartyCalvin Wimbish,"78,762","38,983",19.53%,Open
Florida's 11th Congressional District,"325,921",Republican PartyDaniel Webster,"205,627",Democratic PartyShante Munns,"115,382","90,245",27.69%,Incumbent R
Florida's 12th Congressional District,"321,995",Republican PartyGus Bilirakis,"226,601",Democratic PartyKimberly Walker,"95,390","131,211",40.75%,Incumbent R
Florida's 13th Congressional District,"341,546",Republican PartyAnna Paulina Luna,"181,487",Democratic PartyEric Lynn,"153,876","27,611",8.08%,Open
Florida's 14th Congressional District,"262,844",Democratic PartyKathy Castor,"149,553",Republican PartyJames Judge,"113,291","36,262",13.80%,Incumbent D
Florida's 15th Congressional District,"247,774",Republican PartyLaurel Lee,"145,067",Democratic PartyAlan Cohn,"102,707","42,360",17.10%,Open
Florida's 16th Congressional District,"305,358",Republican PartyVern Buchanan,"189,762",Democratic PartyJan Schneider,"115,575","74,187",24.30%,Incumbent R
Florida's 17th Congressional District,"348,147",Republican PartyGreg Steube,"222,286",Democratic PartyAndrea Doria Kale,"123,642","98,644",28.33%,Incumbent R
Florida's 18th Congressional District,"224,234",Republican PartyScott Franklin,"167,429",IndependentKeith Hayden Jr.,"56,647","110,782",49.40%,Incumbent R
Florida's 19th Congressional District,"313,274",Republican PartyByron Donalds,"213,035",Democratic PartyCindy Banyai,"100,226","112,809",36.01%,Incumbent R
Florida's 2nd Congressional District,"300,715",Republican PartyNeal Dunn,"179,873",Democratic PartyAl Lawson,"120,842","59,031",19.63%,Incumbent R
Florida's 20th Congressional District,"187,846",Democratic PartySheila Cherfilus-McCormick,"135,789",Republican PartyDrew-Montez Clark,"52,057","83,732",44.57%,Incumbent D
Florida's 21st Congressional District,"328,120",Republican PartyBrian Mast,"208,408",Democratic PartyCorinna Robinson,"119,712","88,696",27.03%,Incumbent R
Florida's 22nd Congressional District,"271,730",Democratic PartyLois Frankel,"149,692",Republican PartyDan Franzese,"122,038","27,654",10.18%,Incumbent D
Florida's 23rd Congressional District,"277,046",Democratic PartyJared Moskowitz,"142,916",Republican PartyJoe Budd,"129,758","13,158",4.75%,Open
Florida's 24th Congressional District,"185,765",Democratic PartyFrederica Wilson,"133,352",Republican PartyJesus Navarro,"52,413","80,939",43.57%,Incumbent D
Florida's 25th Congressional District,"233,499",Democratic PartyDebbie Wasserman Schultz,"128,680",Republican PartyCarla Spalding,"104,819","23,861",10.22%,Incumbent D
Florida's 26th Congressional District,"201,982",Republican PartyMario Diaz-Balart,"143,188",Democratic PartyChristine Alexandria Olivo,"58,794","84,394",41.78%,Incumbent R
Florida's 27th Congressional District,"237,345",Republican PartyMaria Elvira Salazar,"136,006",Democratic PartyAnnette Taddeo,"101,339","34,667",14.61%,Incumbent R
Florida's 28th Congressional District,"211,150",Republican PartyCarlos Gimenez,"134,457",Democratic PartyRobert Asencio,"76,665","57,792",27.37%,Incumbent R
Florida's 3rd Congressional District,"284,658",Republican PartyKat Cammack,"177,999",Democratic PartyDanielle Hawk,"103,254","74,745",26.26%,Incumbent R
Florida's 4th Congressional District,"274,103",Republican PartyAaron Bean,"165,696",Democratic PartyLaShonda Holloway,"108,402","57,294",20.90%,Incumbent R
Florida's 5th Congressional District,-,Republican PartyJohn Rutherford,-,-,-,-,-,Incumbent R
Florida's 6th Congressional District,"300,194",Republican PartyMichael Waltz,"226,140",Libertarian PartyJoe Hannoush,"74,054","152,086",50.66%,Incumbent R
Florida's 7th Congressional District,"304,055",Republican PartyCory Mills,"177,966",Democratic PartyKaren Green,"126,079","51,887",17.07%,Open
Florida's 8th Congressional District,"341,883",Republican PartyBill Posey,"221,966",Democratic PartyJoanne Terry,"119,917","102,049",29.85%,Incumbent R
Florida's 9th Congressional District,"202,137",Democratic PartyDarren Soto,"108,398",Republican PartyScotty Moore,"93,739","14,659",7.25%,Incumbent D
Georgia's 1st Congressional District,"263,674",Republican PartyBuddy Carter,"156,015",Democratic PartyWade Herring,"107,659","48,356",18.34%,Incumbent R
Georgia's 10th Congressional District,"307,487",Republican PartyMike Collins (Georgia),"198,413",Democratic PartyTabitha Johnson-Green,"109,074","89,339",29.05%,Open
Georgia's 11th Congressional District,"302,138",Republican PartyBarry Loudermilk,"189,416",Democratic PartyAntonio Daza,"112,722","76,694",25.38%,Incumbent R
Georgia's 12th Congressional District,"265,015",Republican PartyRick Allen,"157,936",Democratic PartyLiz Johnson,"107,079","50,857",19.19%,Incumbent R
Georgia's 13th Congressional District,"263,832",Democratic PartyDavid Scott,"215,703",Republican PartyCaesar Gonzales,"48,129","167,574",63.52%,Incumbent D
Georgia's 14th Congressional District,"258,005",Republican PartyMarjorie Taylor Greene,"169,987",Democratic PartyMarcus Flowers,"88,018","81,969",31.77%,Incumbent R
Georgia's 2nd Congressional District,"240,516",Democratic PartySanford Bishop,"132,249",Republican PartyChris West,"108,267","23,982",9.97%,Incumbent D
Georgia's 3rd Congressional District,"310,241",Republican PartyDrew Ferguson,"213,453",Democratic PartyVal Almonord,"96,788","116,665",37.60%,Incumbent R
Georgia's 4th Congressional District,"275,025",Democratic PartyHank Johnson,"215,815",Republican PartyJonathan Chavez,"59,210","156,605",56.94%,Incumbent D
Georgia's 5th Congressional District,"294,298",Democratic PartyNikema Williams,"242,704",Republican PartyChristian Zimm,"51,594","191,110",64.94%,Incumbent D
Georgia's 6th Congressional District,"324,768",Republican PartyRich McCormick,"202,715",Democratic PartyBob Christian,"122,053","80,662",24.84%,Open
Georgia's 7th Congressional District,"234,339",Democratic PartyLucy McBath,"143,063",Republican PartyMark Gonsalves,"91,262","51,801",22.11%,Incumbent D
Georgia's 8th Congressional District,"260,293",Republican PartyAustin Scott,"178,560",Democratic PartyDarrius Butler,"81,733","96,827",37.20%,Incumbent R
Georgia's 9th Congressional District,"293,870",Republican PartyAndrew Clyde,"212,667",Democratic PartyMike Ford,"81,203","131,464",44.74%,Incumbent R
Hawaii's 1st Congressional District,"150,349",Democratic PartyEd Case,"116,026",Republican PartyConrad Kress,"34,323","81,703",54.34%,Incumbent D
Hawaii's 2nd Congressional District,"148,260",Democratic PartyJill Tokuda,"98,827",Republican PartyJoseph Akana,"45,971","52,856",35.65%,Incumbent D
Idaho's 1st Congressional District,"223,596",Republican PartyRuss Fulcher,"156,914",Democratic PartyKaylee Peterson,"61,197","95,717",42.81%,Incumbent R
Idaho's 2nd Congressional District,"219,960",Republican PartyMike Simpson,"140,029",Democratic PartyWendy Norman,"79,931","60,098",27.32%,Incumbent R
Illinois' 1st Congressional District,"237,425",Democratic PartyJonathan Jackson,"159,142",Republican PartyEric Carlson,"78,258","80,884",34.07%,Open
Illinois' 10th Congressional District,"220,701",Democratic PartyBrad Schneider,"140,059",Republican PartyJoseph Severino,"80,642","59,417",26.92%,Incumbent D
Illinois' 11th Congressional District,"264,241",Democratic PartyBill Foster,"149,172",Republican PartyCatalina Lauf,"115,069","34,103",12.91%,Incumbent D
Illinois' 12th Congressional District,"181,545",Republican PartyMike Bost,"135,111",Democratic PartyHomer Markel,"46,434","88,677",48.85%,Incumbent R
Illinois' 13th Congressional District,"236,096",Democratic PartyNikki Budzinski,"129,243",Republican PartyRegan Deering,"106,853","22,390",9.48%,Open
Illinois' 14th Congressional District,"231,875",Democratic PartyLauren Underwood,"124,628",Republican PartyScott Gryder,"107,247","17,381",7.50%,Incumbent D
Illinois' 15th Congressional District,"176,592",Republican PartyMary Miller,"124,494",Democratic PartyPaul Lange,"52,098","72,396",41.00%,Incumbent R
Illinois' 16th Congressional District,"238,500",Republican PartyDarin LaHood,"158,795",Democratic PartyElizabeth Haderlein,"79,705","79,090",33.16%,Incumbent R
Illinois' 17th Congressional District,"230,828",Democratic PartyEric Sorensen,"119,450",Republican PartyEsther Joy King,"111,378","8,072",3.50%,Open
Illinois' 2nd Congressional District,"188,484",Democratic PartyRobin Kelly,"127,650",Republican PartyThomas Lynch,"60,834","66,816",35.45%,Incumbent D
Illinois' 3rd Congressional District,"162,717",Democratic PartyDelia Ramirez,"108,570",Republican PartyJustin Burau,"54,147","54,423",33.45%,Open
Illinois' 4th Congressional District,"133,047",Democratic PartyJesus Garcia,"91,036",Republican PartyJames Falakos,"37,352","53,684",40.35%,Incumbent D
Illinois' 5th Congressional District,"239,957",Democratic PartyMike Quigley,"162,706",Republican PartyTommy Hanson,"73,331","89,375",37.25%,Incumbent D
Illinois' 6th Congressional District,"276,859",Democratic PartySean Casten,"150,496",Republican PartyKeith Pekau,"126,351","24,145",8.72%,Incumbent D
Illinois' 7th Congressional District,"167,746",Democratic PartyDanny Davis,"167,650",IndependentChad Koppie,83,"167,567",99.89%,Incumbent D
Illinois' 8th Congressional District,"199,185",Democratic PartyRaja Krishnamoorthi,"112,042",Republican PartyChris Dargis,"87,143","24,899",12.50%,Incumbent D
Illinois' 9th Congressional District,"200,803",Democratic PartyJan Schakowsky,"144,748",Republican PartyMax Rice,"56,055","88,693",44.17%,Incumbent D
Indiana's 1st Congressional District,"213,207",Democratic PartyFrank Mrvan,"112,656",Republican PartyJennifer-Ruth Green,"100,542","12,114",5.68%,Incumbent D
Indiana's 2nd Congressional District,"194,373",Republican PartyRudy Yakym,"125,537",Democratic PartyPaul Steury,"62,955","62,582",32.20%,Open
Indiana's 3rd Congressional District,"239,647",Republican PartyJim Banks,"141,656",Democratic PartyGary Snyder,"86,833","54,823",22.88%,Incumbent R
Indiana's 4th Congressional District,"190,735",Republican PartyJim Baird,"129,486",Democratic PartyRoger Day,"61,249","68,237",35.78%,Incumbent R
Indiana's 5th Congressional District,"239,869",Republican PartyVictoria Spartz,"146,496",Democratic PartyJeannine Lee Lake,"93,373","53,123",22.15%,Incumbent R
Indiana's 6th Congressional District,"174,112",Republican PartyGreg Pence,"118,396",Democratic PartyCynthia Wirth,"55,716","62,680",36.00%,Incumbent R
Indiana's 7th Congressional District,"163,122",Democratic PartyAndré Carson,"109,158",Republican PartyAngela Grabovsky,"49,983","59,175",36.28%,Incumbent D
Indiana's 8th Congressional District,"209,549",Republican PartyLarry Bucshon,"137,415",Democratic PartyRay McCormick,"66,354","71,061",33.91%,Incumbent R
Indiana's 9th Congressional District,"225,276",Republican PartyErin Houchin,"143,166",Democratic PartyMatthew Fyfe,"75,700","67,466",29.95%,Open
Iowa's 1st Congressional District,"300,894",Republican PartyMariannette Miller-Meeks,"160,441",Democratic PartyChristina Bohannan,"140,453","19,988",6.64%,Incumbent R
Iowa's 2nd Congressional District,"303,976",Republican PartyAshley Hinson,"167,904",Democratic PartyLiz Mathis,"136,072","31,832",10.47%,Incumbent R
Iowa's 3rd Congressional District,"310,855",Republican PartyZach Nunn,"156,237",Democratic PartyCindy Axne,"154,084","2,153",0.69%,Open
Iowa's 4th Congressional District,"234,537",Republican PartyRandy Feenstra,"158,273",Democratic PartyRyan Melton,"71,063","87,210",37.18%,Incumbent R
Kansas' 1st Congressional District,"205,085",Republican PartyTracey Mann,"137,432",Democratic PartyJames Beard,"67,653","69,779",34.02%,Incumbent R
Kansas' 2nd Congressional District,"233,358",Republican PartyJacob LaTurner,"134,506",Democratic PartyPatrick Schmidt,"98,852","35,654",15.28%,Incumbent R
Kansas' 3rd Congressional District,"287,966",Democratic PartySharice Davids,"158,423",Republican PartyAmanda Adkins,"122,986","35,437",12.31%,Incumbent D
Kansas' 4th Congressional District,"208,417",Republican PartyRon Estes,"131,196",Democratic PartyBob Hernandez,"77,221","53,975",25.90%,Incumbent R
Kentucky's 1st Congressional District,"231,565",Republican PartyJames Comer,"172,193",Democratic PartyJimmy Ausbrooks,"59,372","112,821",48.72%,Incumbent R
Kentucky's 2nd Congressional District,"142,046",Republican PartyBrett Guthrie,"104,044",Democratic PartyHank Linderman,"38,002","66,042",46.49%,Incumbent R
Kentucky's 3rd Congressional District,"259,475",Democratic PartyMorgan McGarvey,"160,853",Republican PartyStuart Ray,"98,622","62,231",23.98%,Open
Kentucky's 4th Congressional District,"257,212",Republican PartyThomas Massie,"167,210",Democratic PartyMatt Lehman,"79,911","87,299",33.94%,Incumbent R
Kentucky's 5th Congressional District,"212,768",Republican PartyHal Rogers,"175,046",Democratic PartyConor Halbleib,"37,722","137,324",64.54%,Incumbent R
Kentucky's 6th Congressional District,"237,436",Republican PartyAndy Barr,"154,539",Democratic PartyGeoff Young,"82,897","71,642",30.17%,Incumbent R
Louisiana's 1st Congressional District,"243,484",Republican PartySteve Scalise,"177,379",Democratic PartyKatie Darling,"61,207","116,172",47.71%,Incumbent R
Louisiana's 2nd Congressional District,"198,367",Democratic PartyTroy Carter,"152,064",Republican PartyDan Lux,"46,303","105,761",53.32%,Incumbent D
Louisiana's 3rd Congressional District,"223,844",Republican PartyClay Higgins,"144,093",Republican PartyHolden Hoggatt,"24,444","119,649",53.45%,Incumbent R
Louisiana's 4th Congressional District,-,Republican PartyMike Johnson,-,-,-,-,,Incumbent R
Louisiana's 5th Congressional District,"223,117",Republican PartyJulia Letlow,"150,953",Democratic PartyOscar Dantzler,"34,991","115,962",51.97%,Incumbent R
Louisiana's 6th Congressional District,"202,807",Republican PartyGarret Graves,"163,391",Libertarian PartyRufus Craig,"25,148","138,243",68.16%,Incumbent R
Maine's 1st Congressional District,"329,681",Democratic PartyChellie Pingree,"204,120",Republican PartyEd Thelander,"125,253","78,867",23.92%,Incumbent D
Maine's 2nd Congressional District,"316,382",Democratic PartyJared Golden,"165,136",Republican PartyBruce Poliquin,"146,142","18,994",6.00%,Incumbent D
Maryland's 1st Congressional District,"231,370",Republican PartyAndy Harris,"138,927",Democratic PartyHeather Mizeur,"86,670","52,257",22.59%,Incumbent R
Maryland's 2nd Congressional District,"198,989",Democratic PartyDutch Ruppersberger,"106,396",Republican PartyNicolee Ambrose,"92,335","14,061",7.07%,Incumbent D
Maryland's 3rd Congressional District,"217,388",Democratic PartyJohn Sarbanes,"119,849",Republican PartyYuripzy Morgan,"97,539","22,310",10.26%,Incumbent D
Maryland's 4th Congressional District,"107,146",Democratic PartyGlenn Ivey,"96,037",Republican PartyJeff Warner,"11,109","84,928",79.26%,Open
Maryland's 5th Congressional District,"203,459",Democratic PartySteny Hoyer,"123,440",Republican PartyChris Palombi,"80,019","43,421",21.34%,Incumbent D
Maryland's 6th Congressional District,"214,622",Democratic PartyDavid Trone,"108,520",Republican PartyNeil Parrott,"106,102","2,418",1.13%,Incumbent D
Maryland's 7th Congressional District,"150,374",Democratic PartyKweisi Mfume,"121,621",Republican PartyScott Collier,"28,753","92,868",61.76%,Incumbent D
Maryland's 8th Congressional District,"181,293",Democratic PartyJamie Raskin,"138,632",Republican PartyGregory Coll,"39,461","99,171",54.70%,Incumbent D
Massachusetts' 1st Congressional District,"218,374",Democratic PartyRichard Neal,"134,904",Republican PartyDean James Martilli,"83,470","51,434",23.55%,Incumbent D
