Location,PVI,Member,Incumbent Party,Status
California 48,R+9,Darrell Issa,Republican,Incumbent re-elected.
,,Redistricted from the 50th district,,
,,,,
California 49,D+3,Mike Levin,Democratic,Incumbent re-elected.
,,,,
,,,,
California 50,D+14,Scott Peters,Democratic,Incumbent re-elected.
,,Redistricted from the 52nd district,,
,,,,
California 51,D+12,Sara Jacobs,Democratic,Incumbent re-elected.
,,Redistricted from the 53rd district,,
,,,,
California 52,D+18,Juan Vargas,Democratic,Incumbent re-elected.
,,Redistricted from the 51st district,,
,,,,
Colorado 1,D+29,Diana DeGette,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Colorado 2,D+17,Joe Neguse,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Colorado 3,R+7,Lauren Boebert,Republican,Incumbent re-elected.
,,,,
,,,,
Colorado 4,R+13,Ken Buck,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Colorado 5,R+9,Doug Lamborn,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
Colorado 6,D+9,Jason Crow,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Colorado 7,D+4,Ed Perlmutter,Democratic,Incumbent retired.
,,,,New member elected.
,,,,Democratic hold.
,,,,
,,,,
Colorado 8,EVEN,None (New seat),,New seat.
,,,,New member elected.
,,,,Democratic gain.
,,,,
Connecticut 1,D+12,John B. Larson,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Connecticut 2,D+3,Joe Courtney,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
Connecticut 3,D+7,Rosa DeLauro,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
Connecticut 4,D+13,Jim Himes,Democratic,Incumbent re-elected.
,,,,
,,,,
Connecticut 5,D+3,Jahana Hayes,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
District,,Incumbent,,
Location,2022,Member,Party,Status
,PVI[153],,,
Delaware at-large,D+7,Lisa Blunt Rochester,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
,,,,
District,,Incumbent,,
Location,2022,Member,Party,Status
,PVI[153],,,
Florida 1,R+19,Matt Gaetz,Republican,Incumbent re-elected.
,,,,
,,,,
Florida 2,R+8,Neal Dunn,Republican,Incumbent re-elected.
,,,,
,,Al Lawson,Democratic,Incumbent lost re-election.
,,Redistricted from the 5th district,,Democratic loss.
Florida 3,R+9,Kat Cammack,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Florida 4,R+6,None (New seat),,New seat.
,,,,New member elected.
,,,,Republican gain.
Florida 5,R+11,John Rutherford,Republican,Incumbent re-elected.
,,Redistricted from the 4th district,,
Florida 6,R+14,Michael Waltz,Republican,Incumbent re-elected.
,,,,
,,,,
Florida 7,R+5,Stephanie Murphy,Democratic,Incumbent retired.
,,,,New member elected.
,,,,Republican gain.
Florida 8,R+11,Bill Posey,Republican,Incumbent re-elected.
,,,,
,,,,
Florida 9,D+8,Darren Soto,Democratic,Incumbent re-elected.
,,,,
,,,,
Florida 10,D+14,Val Demings,Democratic,Incumbent retired to run for U.S. senator.
,,,,New member elected.
,,,,Democratic hold.
,,,,
,,,,
Florida 11,R+8,Daniel Webster,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Florida 12,R+17,Gus Bilirakis,Republican,Incumbent re-elected.
,,,,
,,,,
Florida 13,R+6,Vacant,,"Rep. Charlie Crist (D) resigned August 31, 2022, to run for governor of Florida."
,,,,New member elected.
,,,,Republican gain.
,,,,
Florida 14,D+8,Kathy Castor,Democratic,Incumbent re-elected.
,,,,
,,,,
Florida 15,R+4,None (New seat),,New seat.
,,,,New member elected.
,,,,Republican gain.
Florida 16,R+7,Vern Buchanan,Republican,Incumbent re-elected.
,,,,
,,,,
Florida 17,R+10,Greg Steube,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Florida 18,R+13,Scott Franklin,Republican,Incumbent re-elected.
,,Redistricted from the 15th district,,
,,,,
Florida 19,R+13,Byron Donalds,Republican,Incumbent re-elected.
,,,,
,,,,
Florida 20,D+25,Sheila Cherfilus-McCormick,Democratic,Incumbent re-elected.
,,,,
,,,,
Florida 21,R+7,Brian Mast,Republican,Incumbent re-elected.
,,Redistricted from the 18th district,,
,,,,
Florida 22,D+7,Lois Frankel,Democratic,Incumbent re-elected.
,,Redistricted from the 21st district,,
,,,,
Florida 23,D+5,Vacant,,"Rep. Ted Deutch (D), who was redistricted from the 22nd district, resigned September 30, 2022, to become CEO of the AJC."
,,,,New member elected.
,,,,Democratic hold.
,,,,
,,,,
Florida 24,D+25,Frederica Wilson,Democratic,Incumbent re-elected.
,,,,
,,,,
Florida 25,D+9,Debbie Wasserman Schultz,Democratic,Incumbent re-elected.
,,Redistricted from the 23rd district,,
,,,,
Florida 26,R+8,Mario Díaz-Balart,Republican,Incumbent re-elected.
,,Redistricted from the 25th district,,
,,,,
Florida 27,EVEN,María Elvira Salazar,Republican,Incumbent re-elected.
,,,,
,,,,
Florida 28,R+2,Carlos A. Giménez,Republican,Incumbent re-elected.
,,Redistricted from the 26th district,,
,,,,
Georgia 1,R+9,Buddy Carter,Republican,Incumbent re-elected.
,,,,
,,,,
Georgia 2,D+3,Sanford Bishop,Democratic,Incumbent re-elected.
,,,,
,,,,
Georgia 3,R+18,Drew Ferguson,Republican,Incumbent re-elected.
,,,,
,,,,
Georgia 4,D+27,Hank Johnson,Democratic,Incumbent re-elected.
,,,,
,,,,
Georgia 5,D+32,Nikema Williams,Democratic,Incumbent re-elected.
,,,,
,,,,
Georgia 6,R+11,None (New seat),,New seat.
,,,,New member elected.
,,,,Republican gain.
Georgia 7,D+10,Carolyn Bourdeaux,Democratic,Incumbent lost renomination
,,,,Democratic loss.
,,Lucy McBath,Democratic,Incumbent re-elected.
,,Redistricted from the 6th district,,
Georgia 8,R+16,Austin Scott,Republican,Incumbent re-elected.
,,,,
,,,,
Georgia 9,R+22,Andrew Clyde,Republican,Incumbent re-elected.
,,,,
,,,,
Georgia 10,R+15,Jody Hice,Republican,Incumbent retired to run for Secretary of State of Georgia
,,,,New member elected
,,,,Republican hold.
Georgia 11,R+11,Barry Loudermilk,Republican,Incumbent re-elected.
,,,,
,,,,
Georgia 12,R+8,Rick Allen,Republican,Incumbent re-elected.
,,,,
,,,,
Georgia 13,D+28,David Scott,Democratic,Incumbent re-elected.
,,,,
,,,,
Georgia 14,R+22,Marjorie Taylor Greene,Republican,Incumbent re-elected.
,,,,
,,,,
Hawaii 1,D+14,Ed Case,Democratic,Incumbent re-elected.
,,,,
,,,,
Hawaii 2,D+14,Kai Kahele,Democratic,Incumbent retired to run for governor of Hawaii.
,,,,New member elected.
,,,,Democratic hold.
,,,,
Idaho 1,R+22,Russ Fulcher,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Idaho 2,R+14,Mike Simpson,Republican,Incumbent re-elected.
,,,,
,,,,
Illinois 1,D+20,Bobby Rush,Democratic,Incumbent retired.
,,,,New member elected.
,,,,Democratic hold.
Illinois 2,D+19,Robin Kelly,Democratic,Incumbent re-elected.
,,,,
,,,,
Illinois 3,D+20,None (New seat),,New seat.
,,,,New member elected.
,,,,Democratic gain.
Illinois 4,D+22,Chuy García,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Illinois 5,D+18,Mike Quigley,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Illinois 6,D+3,Sean Casten,Democratic,Incumbent re-elected.
,,,,
,,Marie Newman,Democratic,Incumbent lost renomination.
,,Redistricted from the 3rd district,,Democratic loss.
Illinois 7,D+36,Danny K. Davis,Democratic,Incumbent re-elected.
,,,,
Illinois 8,D+6,Raja Krishnamoorthi,Democratic,Incumbent re-elected.
,,,,
,,,,
Illinois 9,D+19,Jan Schakowsky,Democratic,Incumbent re-elected.
,,,,
,,,,
Illinois 10,D+11,Brad Schneider,Democratic,Incumbent re-elected.
,,,,
,,,,
Illinois 11,D+5,Bill Foster,Democratic,Incumbent re-elected.
,,,,
,,,,
Illinois 12,R+24,Mike Bost,Republican,Incumbent re-elected.
,,,,
,,,,
Illinois 13,D+3,None (New seat),,New seat.
,,,,New member elected.
,,,,Democratic gain.
Illinois 14,D+4,Lauren Underwood,Democratic,Incumbent re-elected.
,,,,
,,,,
Illinois 15,R+22,Mary Miller,Republican,Incumbent re-elected.
,,,,
,,Rodney Davis,Republican,Incumbent lost renomination.
,,Redistricted from the 13th district,,Republican loss.
Illinois 16,R+13,Adam Kinzinger,Republican,Incumbent retired.
,,,,Republican loss.
,,Darin LaHood,Republican,Incumbent re-elected.
,,Redistricted from the 18th district,,
Illinois 17,D+2,Cheri Bustos,Democratic,Incumbent retired.
,,,,New member elected.
,,,,Democratic hold.
Indiana 1,D+3,Frank J. Mrvan,Democratic,Incumbent re-elected.
,,,,
,,,,
Indiana 2,R+14,Vacant,,"Rep. Jackie Walorski (R) died August 3, 2022.[162]"
,,,,New member elected.
,,,,Republican hold.
,,,,"Winner also elected to unexpired term, see above."
Indiana 3,R+18,Jim Banks,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Indiana 4,R+18,Jim Baird,Republican,Incumbent re-elected..
,,,,
,,,,
Indiana 5,R+11,Victoria Spartz,Republican,Incumbent re-elected.
,,,,
,,,,
Indiana 6,R+19,Greg Pence,Republican,Incumbent re-elected..
,,,,
,,,,
Indiana 7,D+19,André Carson,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Indiana 8,R+19,Larry Bucshon,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Indiana 9,R+16,Trey Hollingsworth,Republican,Incumbent retired.
,,,,New member elected.
,,,,Republican hold.
,,,,
Iowa 1,R+3,Mariannette Miller-Meeks,Republican,Incumbent re-elected.
,,Redistricted from the 2nd district,,
,,,,
Iowa 2,R+4,Ashley Hinson,Republican,Incumbent re-elected.
,,Redistricted from the 1st district,,
,,,,
Iowa 3,R+3,Cindy Axne,Democratic,Incumbent lost re-election.
,,,,New member elected.
,,,,Republican gain.
Iowa 4,R+16,Randy Feenstra,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
District,,Incumbent,,
Location,2022,Member,Party,Status
,PVI[153],,,
Kansas 1,R+18,Tracey Mann,Republican,Incumbent re-elected.
,,,,
,,,,
Kansas 2,R+11,Jake LaTurner,Republican,Incumbent re-elected.
,,,,
,,,,
Kansas 3,R+1,Sharice Davids,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Kansas 4,R+14,Ron Estes,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
District,,Incumbent,,
Location,2022,Member,Party,Status
,PVI[153],,,
Kentucky 1,R+24,James Comer,Republican,Incumbent re-elected.
,,,,
,,,,
Kentucky 2,R+21,Brett Guthrie,Republican,Incumbent re-elected.
,,,,
,,,,
Kentucky 3,D+9,John Yarmuth,Democratic,Incumbent retired.
,,,,New member elected.
,,,,Democratic hold.
Kentucky 4,R+19,Thomas Massie,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Kentucky 5,R+32,Hal Rogers,Republican,Incumbent re-elected.
,,,,
,,,,
Kentucky 6,R+9,Andy Barr,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
District,,Incumbent,,
Location,2022,Member,Party,Status
,PVI[153],,,
Louisiana 1,R+23,Steve Scalise,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Louisiana 2,D+25,Troy Carter,Democratic,Incumbent re-elected.
,,,,
,,,,
Louisiana 3,R+21,Clay Higgins,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Louisiana 4,R+14,Mike Johnson,Republican,Incumbent re-elected.
Louisiana 5,R+17,Julia Letlow,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
,,,,
Louisiana 6,R+19,Garret Graves,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
District,,Incumbent,,
Location,2022,Member,Party,Status
,PVI[153],,,
Maine 1,D+9,Chellie Pingree,Democratic,Incumbent re-elected.
,,,,
,,,,
Maine 2,R+6,Jared Golden,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
District,,Incumbent,,
Location,2022,Member,Party,Status
,PVI[153],,,
Maryland 1,R+11,Andy Harris,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Maryland 2,D+7,Dutch Ruppersberger,Democratic,Incumbent re-elected.
,,,,
,,,,
Maryland 3,D+10,John Sarbanes,Democratic,Incumbent re-elected.
,,,,
,,,,
Maryland 4,D+40,Anthony Brown,Democratic,Incumbent retired to run for attorney general of Maryland.
,,,,New member elected.
,,,,Democratic hold.
Maryland 5,D+15,Steny Hoyer,Democratic,Incumbent re-elected.
,,,,
,,,,
Maryland 6,D+2,David Trone,Democratic,Incumbent re-elected.
,,,,
,,,,
Maryland 7,D+30,Kweisi Mfume,Democratic,Incumbent re-elected.
,,,,
,,,,
Maryland 8,D+29,Jamie Raskin,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
District,,Incumbent,,
Location,2022,Member,Party,Status
,PVI[153],,,
Massachusetts 1,D+9,Richard Neal,Democratic,Incumbent re-elected.
,,,,
,,,,
Massachusetts 2,D+13,Jim McGovern,Democratic,Incumbent re-elected.
,,,,
,,,,
Massachusetts 3,D+11,Lori Trahan,Democratic,Incumbent re-elected.
,,,,
,,,,
Massachusetts 4,D+12,Jake Auchincloss,Democratic,Incumbent re-elected.
,,,,
Massachusetts 5,D+23,Katherine Clark,Democratic,Incumbent re-elected.
,,,,
,,,,
Massachusetts 6,D+11,Seth Moulton,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Massachusetts 7,D+35,Ayanna Pressley,Democratic,Incumbent re-elected.
,,,,
,,,,
Massachusetts 8,D+15,Stephen F. Lynch,Democratic,Incumbent re-elected.
,,,,
,,,,
Massachusetts 9,D+6,Bill Keating,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
District,,Incumbent,,
Location,2022,Member,Party,Status
,PVI[153],,,
Michigan 1,R+13,Jack Bergman,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
Michigan 2,R+16,John Moolenaar,Republican,Incumbent re-elected.
,,Redistricted from the 4th district,,
,,,,
,,,,
Michigan 3,D+1,Peter Meijer,Republican,Incumbent lost renomination.
,,,,New member elected.
,,,,Democratic gain.
,,,,
,,,,
Michigan 4,R+5,Bill Huizenga,Republican,Incumbent re-elected.
,,Redistricted from the 2nd district,,
,,,,
,,,,
,,Fred Upton,Republican,Incumbent retired.
,,Redistricted from the 6th district,,Republican loss.
Michigan 5,R+15,Tim Walberg,Republican,Incumbent re-elected.
,,Redistricted from the 7th district,,
,,,,
,,,,
,,,,
Michigan 6,D+11,Debbie Dingell,Democratic,Incumbent re-elected.
,,Redistricted from the 12th district,,
,,,,
Michigan 7,R+2,Elissa Slotkin,Democratic,Incumbent re-elected.
,,Redistricted from the 8th district,,
,,,,
,,,,
Michigan 8,R+1,Dan Kildee,Democratic,Incumbent re-elected.
,,Redistricted from the 5th district,,
,,,,
,,,,
,,,,
Michigan 9,R+18,Lisa McClain,Republican,Incumbent re-elected.
,,Redistricted from the 10th district,,
,,,,
,,,,
,,,,
Michigan 10,R+3,None (New seat),,New seat.
,,,,New member elected.
,,,,Republican gain.
,,,,
,,,,
Michigan 11,D+7,Haley Stevens,Democratic,Incumbent re-elected.
,,,,
,,Andy Levin,Democratic,Incumbent lost renomination.
,,Redistricted from the 9th district,,Democratic loss.
Michigan 12,D+23,Rashida Tlaib,Democratic,Incumbent re-elected.
,,Redistricted from the 13th district,,
,,,,
,,Brenda Lawrence,Democratic,Incumbent retired.
,,Redistricted from the 14th district,,Democratic loss.
Michigan 13,D+23,None (New seat),,New seat.
,,,,New member elected.
,,,,Democratic gain.
,,,,
,,,,
Minnesota 1,R+7,Brad Finstad,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
Minnesota 2,D+1,Angie Craig,DFL,Incumbent re-elected.
,,,,
,,,,
,,,,
Minnesota 3,D+8,Dean Phillips,DFL,Incumbent re-elected.
,,,,
,,,,
Minnesota 4,D+17,Betty McCollum,DFL,Incumbent re-elected.
,,,,
,,,,
Minnesota 5,D+30,Ilhan Omar,DFL,Incumbent re-elected.
,,,,
,,,,
Minnesota 6,R+12,Tom Emmer,Republican,Incumbent re-elected.
,,,,
,,,,
Minnesota 7,R+19,Michelle Fischbach,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Minnesota 8,R+8,Pete Stauber,Republican,Incumbent re-elected.
,,,,
,,,,
Mississippi 1,R+18,Trent Kelly,Republican,Incumbent re-elected.
,,,,
,,,,
Mississippi 2,D+11,Bennie Thompson,Democratic,Incumbent re-elected.
,,,,
,,,,
Mississippi 3,R+15,Michael Guest,Republican,Incumbent re-elected.
,,,,
,,,,
Mississippi 4,R+22,Steven Palazzo,Republican,Incumbent lost renomination.
,,,,New member elected.
,,,,Republican hold.
,,,,
Missouri 1,D+27,Cori Bush,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Missouri 2,R+7,Ann Wagner,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Missouri 3,R+16,Blaine Luetkemeyer,Republican,Incumbent re-elected.
,,,,
,,,,
Missouri 4,R+23,Vicky Hartzler,Republican,Incumbent retired to run for U.S. senator.
,,,,New member elected.
,,,,Republican hold.
,,,,
Missouri 5,D+11,Emanuel Cleaver,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Missouri 6,R+21,Sam Graves,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Missouri 7,R+24,Billy Long,Republican,Incumbent retired to run for U.S. senator.
,,,,New member elected.
,,,,Republican hold.
,,,,
Missouri 8,R+28,Jason Smith,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Montana 1,R+6,None (New seat),,New seat.
,,,,New member elected.
,,,,Republican gain.
,,,,
Montana 2,R+16,Matt Rosendale,Republican,Incumbent re-elected.
,,Redistricted from the at-large district,,
,,,,
,,,,
,,,,
Nebraska 1,R+9,Mike Flood,Republican,Incumbent re-elected.
,,,,
,,,,
Nebraska 2,EVEN,Don Bacon,Republican,Incumbent re-elected.
,,,,
,,,,
Nebraska 3,R+29,Adrian Smith,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
Nevada 1,D+3,Dina Titus,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
Nevada 2,R+8,Mark Amodei,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
Nevada 3,D+1,Susie Lee,Democratic,Incumbent re-elected.
,,,,
,,,,
Nevada 4,D+3,Steven Horsford,Democratic,Incumbent re-elected.
,,,,
,,,,
New Hampshire 1,EVEN,Chris Pappas,Democratic,Incumbent re-elected.
,,,,
,,,,
New Hampshire 2,D+2,Annie Kuster,Democratic,Incumbent re-elected.
,,,,
,,,,
New Jersey 1,D+10,Donald Norcross,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
New Jersey 2,R+5,Jeff Van Drew,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
New Jersey 3,D+5,Andy Kim,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
New Jersey 4,R+14,Chris Smith,Republican,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
New Jersey 5,D+4,Josh Gottheimer,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
New Jersey 6,D+8,Frank Pallone,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
New Jersey 7,R+1,Tom Malinowski,Democratic,Incumbent lost re-election.
,,,,New member elected.
,,,,Republican gain.
New Jersey 8,D+22,Albio Sires,Democratic,Incumbent retired.
,,,,New member elected.
,,,,Democratic hold.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
New Jersey 9,D+8,Bill Pascrell,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
New Jersey 10,D+30,Donald Payne Jr.,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
New Jersey 11,D+6,Mikie Sherrill,Democratic,Incumbent re-elected.
,,,,
,,,,
,,,,
